estimator,model,horizon_q,baseline_simple,network,combined_simple,delta_net_vs_base,delta_comb_vs_base
EWMA_hl24,logistic,1,0.6423576423576424,0.43006993006993005,0.7822177822177823,-0.21228771228771232,0.1398601398601399
EWMA_hl24,logistic,2,0.6523476523476524,0.7032967032967034,0.8521478521478522,0.050949050949051,0.1998001998001998
EWMA_hl24,logistic,3,0.7232767232767232,0.8521478521478522,0.8231768231768231,0.12887112887112895,0.09990009990009985
EWMA_hl24,xgboost,1,0.4865134865134866,0.3711288711288711,0.6223776223776223,-0.11538461538461547,0.1358641358641357
EWMA_hl24,xgboost,2,0.32967032967032966,0.5419580419580419,0.541958041958042,0.2122877122877122,0.21228771228771232
EWMA_hl24,xgboost,3,0.5924075924075924,0.6378621378621379,0.6358641358641359,0.045454545454545414,0.043456543456543484
Pearson_w60,logistic,1,0.7369439071566731,0.5077369439071566,0.8500967117988395,-0.2292069632495165,0.11315280464216637
Pearson_w60,logistic,2,0.6305609284332688,0.5686653771760155,0.7727272727272727,-0.06189555125725332,0.14216634429400388
Pearson_w60,logistic,3,0.6054158607350096,0.6982591876208897,0.7050290135396519,0.09284332688588004,0.09961315280464222
Pearson_w60,xgboost,1,0.5251450676982592,0.44874274661508706,0.61605415860735,-0.07640232108317213,0.09090909090909083
Pearson_w60,xgboost,2,0.38152804642166344,0.3965183752417795,0.4042553191489362,0.014990328820116083,0.022727272727272763
Pearson_w60,xgboost,3,0.5043520309477756,0.3655705996131528,0.40909090909090906,-0.13878143133462278,-0.09526112185686653
Spearman_w60,logistic,1,0.7369439071566731,0.6131528046421664,0.8268858800773694,-0.12379110251450676,0.08994197292069628
Spearman_w60,logistic,2,0.6305609284332688,0.6682785299806576,0.7678916827852998,0.03771760154738879,0.13733075435203101
Spearman_w60,logistic,3,0.6054158607350096,0.690522243713733,0.6856866537717602,0.08510638297872342,0.08027079303675055
Spearman_w60,xgboost,1,0.5251450676982592,0.47727272727272724,0.6121856866537717,-0.047872340425531956,0.08704061895551252
Spearman_w60,xgboost,2,0.38152804642166344,0.5154738878143134,0.4511605415860735,0.13394584139264992,0.06963249516441006
Spearman_w60,xgboost,3,0.5043520309477756,0.6315280464216634,0.4806576402321083,0.1271760154738878,-0.023694390715667313
