snapshot_date,centrality_type,rank,state
1989-06,degree,1,OH
1989-06,degree,2,TN
1989-06,degree,3,WI
1989-06,betweenness,1,OH
1989-06,betweenness,2,TN
1989-06,betweenness,3,RI
1989-06,betweenness,4,WI
1989-06,eigenvector,1,TN
1989-06,eigenvector,2,OH
1989-06,eigenvector,3,WI
1989-06,eigenvector,4,IN
1990-10,degree,1,TN
1990-10,degree,2,WI
1990-10,degree,3,KY
1990-10,degree,4,PA
1990-10,betweenness,1,TN
1990-10,betweenness,2,CA
1990-10,betweenness,3,PA
1990-10,eigenvector,1,TN
1990-10,eigenvector,2,WI
1990-10,eigenvector,3,PA
1990-10,eigenvector,4,KY
2000-06,degree,1,WV
2000-06,degree,2,PA
2000-06,degree,3,KY
2000-06,betweenness,1,WV
2000-06,betweenness,2,PA
2000-06,betweenness,3,KY
2000-06,eigenvector,1,WV
2000-06,eigenvector,2,PA
2000-06,eigenvector,3,VA
2001-07,degree,1,VA
2001-07,degree,2,TN
2001-07,degree,3,UT
2001-07,betweenness,1,VA
2001-07,betweenness,2,TN
2001-07,betweenness,3,WA
2001-07,eigenvector,1,VA
2001-07,eigenvector,2,TN
2001-07,eigenvector,3,FL
2007-01,degree,1,VA
2007-01,degree,2,WA
2007-01,betweenness,1,WA
2007-01,betweenness,2,OR
2007-01,eigenvector,1,WA
2007-01,eigenvector,2,VA
2009-01,degree,1,OH
2009-01,degree,2,OR
2009-01,degree,3,CA
2009-01,degree,4,KY
2009-01,betweenness,1,OH
2009-01,betweenness,2,OR
2009-01,betweenness,3,KY
2009-01,eigenvector,1,OH
2009-01,eigenvector,2,OR
2009-01,eigenvector,3,IN
2009-01,eigenvector,4,KY
2019-12,degree,1,CA
2019-12,betweenness,1,CA
2019-12,eigenvector,1,CA
2020-06,degree,1,NJ
2020-06,betweenness,1,MT
2020-06,betweenness,2,OH
2020-06,betweenness,3,KS
2020-06,betweenness,4,HI
2020-06,betweenness,5,TN
2020-06,eigenvector,1,MT
2020-06,eigenvector,2,MO
2020-06,eigenvector,3,OK
